Unnamed: 0,latitude,longitude,mall_name,shop
0,1.27458821795427,103.84347073661,100 AM,mall
1,1.30508681845447,103.905098915055,112 KATONG,mall
2,1.30138510214714,103.837684350436,313@SOMERSET,mall
3,1.3120249182444,103.764960537008,321 CLEMENTI,mall
4,1.33404171129957,103.850955458676,600 @ TOA PAYOH,mall
5,1.4371305244487,103.795289911954,888 PLAZA,mall
6,1.36922321403002,103.848467911464,AMK HUB,mall
7,1.43988095490574,103.801791019595,ADMIRALTY PLACE,mall
8,1.27384263888451,103.801375038176,ALEXANDRA RETAIL CENTRE,mall
9,1.28893477974498,103.805607779399,ANCHORPOINT,mall
10,1.30974242032356,103.864101647509,APERIA,mall
11,1.32612416875662,103.843709493566,BALESTIER HILL SHOPPING CENTRE,mall
12,1.3424126418864295,103.776539385678,BEAUTY WORLD CENTRE,mall
13,1.34178799847022,103.776304121109,BEAUTY WORLD PLAZA,mall
14,1.3246689739690902,103.92940545649,BEDOK MALL,mall
15,1.32480102552269,103.932384005117,BEDOK POINT,mall
16,1.33183269839976,103.744879157153,BIG BOX,mall
17,1.29819500487879,103.855655544739,BUGIS CUBE,mall
18,1.30011789343094,103.856191571652,BUGIS JUNCTION,mall
19,1.30075921013125,103.855204142122,BUGIS+,mall
20,1.37991650665224,103.764317068535,BUKIT PANJANG PLAZA,mall
21,1.29306335877348,103.851293463737,CAPITOL PIAZZA,mall
22,1.30149743442988,103.836444792111,CATHAY CINELEISURE ORCHARD,mall
23,1.43608867729913,103.786009973678,CAUSEWAY POINT,mall
24,1.3523611314355002,103.943784812431,CENTURY SQUARE,mall
25,1.28412271103558,103.852544637414,CHANGE ALLEY,mall
26,1.35634142135845,103.989276642386,CHANGI AIRPORT,mall
27,1.3340363790270802,103.962917615531,CHANGI CITY POINT,mall
28,1.28526073702918,103.844942912343,CHINATOWN POINT,mall
29,1.3114774495223402,103.856780762986,CITY SQUARE MALL,mall
30,1.29237860670959,103.854662968868,CITYLINK MALL,mall
31,1.3155535427795,103.764596439304,CLEMENTI MALL,mall
32,1.3920941559405202,103.894980025383,COMPASS ONE,mall
33,1.29270252655149,103.810971835374,DAWSON PLACE,mall
34,1.2808649386093,103.810142595769,DEPOT HEIGHTS SHOPPING CENTRE,mall
35,1.3260531991057098,103.929604640137,DJITSUN MALL,mall
36,1.3777758420954298,103.95477359289,DOWNTOWN EAST,mall
37,1.29921662121833,103.857996795149,DUO,mall
38,1.3316765687873,103.849383935394,ERA APAC CENTRE,mall
39,1.3425864408894,103.953072338954,EASTPOINT MALL,mall
40,1.3778287661646598,103.942364336974,ELIAS MALL,mall
41,1.28950956232932,103.855665761542,ESPLANADE MALL,mall
42,1.32561764102296,103.678410551563,FAIRPRICE HUB,mall
43,1.3840058246629598,103.771029603101,FAJAR SHOPPING CENTRE,mall
44,1.30731112598869,103.833939963454,FAR EAST PLAZA,mall
45,1.3963155184234,103.881167324822,FERNVALE POINT,mall
46,1.3061252256071698,103.82867554961,FORUM THE SHOPPING MALL,mall
47,1.30145299324793,103.854495182879,FU LU SHOU COMPLEX,mall
48,1.29133889451297,103.850146834511,FUNAN,mall
49,1.29130707593559,103.850083606052,FUNAN DIGITALIFE MALL,mall
50,1.34874423181248,103.698298418177,GEK POH SHOPPING CENTRE,mall
51,1.30285776289789,103.865284424819,GOLDEN MILE COMPLEX,mall
52,1.29315492907011,103.831928020443,GREAT WORLD CITY,mall
53,1.38541768689997,103.766235457752,GREENRIDGE SHOPPING CENTRE,mall
54,1.38760330190636,103.869423629864,GREENWICH V,mall
55,1.33218812037255,103.847077797948,HDB HUB,mall
56,1.26379682885331,103.820219045593,HARBOURFRONT CENTRE,mall
57,1.35954177325562,103.885167372726,HEARTLAND MALL,mall
58,1.3635509577068,103.76423610633002,HILLV2,mall
59,1.3784310082758702,103.762842789877,HILLION MALL,mall
60,1.31025541912227,103.795350439947,HOLLAND ROAD SHOPPING CENTRE,mall
61,1.3756672834841202,103.87945025083,HOUGANG 1,mall
62,1.37243678271745,103.893723857613,HOUGANG MALL,mall
63,1.33491758755438,103.746877132868,IMM,mall
64,1.3040425340698,103.831888294023,ION ORCHARD,mall
65,1.27601222585223,103.845897843593,INTERNATIONAL PLAZA,mall
66,1.33323785085839,103.740191321438,JCUBE,mall
67,1.33305451930724,103.743433746954,JEM,mall
68,1.36033174518933,103.989670344538,JEWEL CHANGI AIRPORT,mall
69,1.38060512473526,103.760041583169,JUNCTION 10,mall
70,1.3502394308637,103.848477625201,JUNCTION 8,mall
71,1.43303198215121,103.841600823354,JUNCTION NINE,mall
72,1.33945200436321,103.706685012926,JURONG POINT,mall
73,1.31469213499496,103.894480526031,KINEX,mall
74,1.30384327182322,103.872750701661,KALLANG WAVE MALL,mall
75,1.3038204018374,103.901040040135,KATONG SHOPPING CENTRE,mall
76,1.30233745290723,103.876449175952,LEISURE PARK KALLANG,mall
77,1.29149019892639,103.844668935113,LIANG COURT,mall
78,1.30510759038419,103.830727915062,LIAT TOWERS,mall
79,1.39224240572061,103.743190998187,LIMBANG SHOPPING CENTRE,mall
80,1.3850699232561898,103.745238868238,LOT ONE,mall
81,1.3664536401035,103.964598499523,LOYANG POINT,mall
82,1.30446378974741,103.834005158524,LUCKY PLAZA,mall
83,1.3020047173196498,103.836583965806,MANDARIN GALLERY,mall
84,1.27912488289485,103.854457000196,MARINA BAY FINANCIAL CENTRE TOWER 3,mall
85,1.28046794331674,103.85347014858,MARINA BAY LINK MALL,mall
86,1.2839941013920602,103.859450636919,MARINA BAY SANDS,mall
87,1.27704168977883,103.853401872618,MARINA ONE,mall
88,1.29103980256765,103.857623532359,MARINA SQUARE,mall
89,1.2920460530205,103.859900233499,MILLENIA WALK,mall
90,1.3506755212032,103.871861615443,NEX,mall
91,1.30242417189412,103.834676124723,NGEE ANN CITY,mall
92,1.42799995995186,103.836142028836,NORTHPOINT CITY,mall
93,1.41684981094702,103.90213684712,NORTHSHORE PLAZA,mall
94,1.31934328126484,103.844177088816,NOVENA SQUARE,mall
95,1.40263460056255,103.913270565628,OASIS TERRACES,mall
96,1.2843399432025,103.850982346718,ONE RAFFLES PLACE,mall
97,1.30072350356706,103.839692368177,ORCHARD CENTRAL,mall
98,1.30044325279546,103.839442780042,ORCHARD GATEWAY,mall
99,1.30178378195548,103.838660627347,ORCHARD MIDPOINT,mall
100,1.30126533034761,103.841151770727,ORCHARD PLAZA,mall
101,1.3014849976274598,103.83788829913,ORCHARD SHOPPING CENTRE,mall
102,1.30684615299345,103.829217749325,ORCHARD TOWERS,mall
103,1.35310120216274,103.940848647333,OUR TAMPINES HUB,mall
104,1.3174823105835802,103.892832205276,PLQ MALL,mall
105,1.30665484543192,103.829588045188,PALAIS RENAISSANCE,mall
106,1.3037232173927,103.835240308455,PARAGON SHOPPING CENTRE,mall
107,1.30108003311458,103.90528181445,PARKWAY PARADE,mall
108,1.37976754317117,103.936207567321,PASIR RIS WEST PLAZA,mall
109,1.31867575623017,103.892550598424,PAYA LEBAR SQUARE,mall
110,1.29232248414938,103.850804507292,PENINSULA PLAZA,mall
111,1.28575774235159,103.843929820315,PEOPLE'S PARK CENTRE,mall
112,1.2841286263641698,103.842584810783,PEOPLE'S PARK COMPLEX,mall
113,1.34159108725754,103.697020081587,PIONEER MALL,mall
114,1.3008207176923898,103.845067272666,PLAZA SINGAPURA,mall
115,1.30007556914647,103.849285599308,POMO,mall
116,1.3941840943827302,103.912976437583,PUNGGOL PLAZA,mall
117,1.28761792558743,103.803391140455,QUEENSWAY SHOPPING CENTRE,mall
118,1.2938935786331398,103.853119904656,RAFFLES CITY SHOPPING CENTRE,mall
119,1.3922173266777,103.904473070943,RIVERVALE MALL,mall
120,1.38537151608701,103.901849634797,RIVERVALE PLAZA,mall
121,1.3053179268958202,103.788523947609,ROCHESTER MALL,mall
122,1.3057629243588502,103.83308338186,SCOTTS SQUARE,mall
123,1.3913930612689498,103.87606765513,SELETAR MALL,mall
124,1.44185325346751,103.824832416105,SEMBAWANG SHOPPING CENTRE,mall
125,1.31078075190146,103.855146819671,SERANGOON PLAZA,mall
126,1.3030229851526298,103.852875622062,SIM LIM SQUARE,mall
127,1.3038113301821002,103.854639960929,SIM LIM TOWER,mall
128,1.29813214766935,103.844138374809,SINGAPORE SHOPPING CENTRE,mall
129,1.2947409482015502,103.856000621324,SOUTH BEACH,mall
130,1.32061258625869,103.844331494859,SQUARE 2,mall
131,1.29409146652973,103.850821336975,STAMFORD HOUSE,mall
132,1.44822653818276,103.819462102812,SUN PLAZA,mall
133,1.37789727654677,103.73901548629298,SUNSHINE PLACE,mall
134,1.29546675589675,103.858585026016,SUNTEC CITY,mall
135,1.3348448747126,103.720462024278,TAMAN JURONG SHOPPING CENTRE,mall
136,1.35432321225806,103.945141172369,TAMPINES 1,mall
137,1.3525802519703898,103.944696230083,TAMPINES MALL,mall
138,1.30483283007133,103.833236683852,TANG PLAZA,mall
139,1.30485342129478,103.823883490852,TANGLIN MALL,mall
140,1.30495005564844,103.832971130126,TANGS,mall
141,1.2766095282693,103.846180785876,TANJONG PAGAR CENTRE,mall
142,1.3061777304808002,103.850609985486,TEKKA CENTRE,mall
143,1.29920226381605,103.847832003713,THE CATHAY,mall
144,1.30197804548976,103.839758893141,THE CENTREPOINT,mall
145,1.31549675427513,103.764570204717,THE CLEMENTI MALL,mall
146,1.30085584996949,103.86246592866,THE CONCOURSE,mall
147,1.28473141234248,103.843203365359,THE MAJESTIC,mall
148,1.3039493635530102,103.835844227627,THE PARAGON,mall
149,1.3913930612689498,103.87606765513,THE SELETAR MALL,mall
150,1.28423491318867,103.858982236191,THE SHOPPES AT MARINA BAY SANDS,mall
151,1.29498804392057,103.856276242094,THE SOUTH BEACH,mall
152,1.30697044038324,103.788420274115,THE STAR VISTA,mall
153,1.33873066415568,103.871670008464,THE WOODLEIGH MALL,mall
154,1.35432524209243,103.830328102928,THOMSON PLAZA,mall
155,1.28647119992725,103.827158267789,TIONG BAHRU PLAZA,mall
