year,npc_name,total_crimes,crime_rate_per_1000
2015,BEDOK,103,0.69
2015,BISHAN,29,0.19
2015,BUKIT BATOK,54,0.36
2015,BUKIT MERAH EAST,83,0.55
2015,BUKIT MERAH WEST,48,0.32
2015,BUKIT PANJANG,47,0.31
2015,BUKIT TIMAH,29,0.19
2015,CHANGI,36,0.24
2015,CHOA CHU KANG,80,0.53
2015,CLEMENTI,54,0.36
2015,GEYLANG,143,0.95
2015,HOUGANG,95,0.63
2015,JURONG EAST,52,0.35
2015,JURONG WEST,78,0.52
2015,KAMPONG JAVA,43,0.29
2015,MARINA BAY,112,0.75
2015,MARINE PARADE,47,0.31
2015,NANYANG,64,0.43
2015,ORCHARD,108,0.72
2015,PASIR RIS,33,0.22
2015,PUNGGOL,25,0.17
2015,QUEENSTOWN,52,0.35
2015,ROCHOR,109,0.73
2015,SEMBAWANG,17,0.11
2015,SENGKANG,51,0.34
2015,SERANGOON,34,0.23
2015,TAMPINES,76,0.51
2015,TOA PAYOH,51,0.34
2015,UNKNOWN,0,0.0
2015,WOODLANDS,0,0.0
2015,WOODLANDS EAST,50,0.33
2015,WOODLANDS WEST,82,0.55
2015,WOODLEIGH,0,0.0
2015,YISHUN,0,0.0
2015,YISHUN NORTH,49,0.33
2015,YISHUN SOUTH,39,0.26
2016,ANG MO KIO NORTH,37,0.25
2016,ANG MO KIO SOUTH,38,0.25
2016,BEDOK,92,0.61
2016,BISHAN,35,0.23
2016,BUKIT BATOK,49,0.33
2016,BUKIT MERAH EAST,55,0.37
2016,BUKIT MERAH WEST,64,0.43
2016,BUKIT PANJANG,38,0.25
2016,BUKIT TIMAH,27,0.18
2016,CHANGI,24,0.16
2016,CHOA CHU KANG,56,0.37
2016,CLEMENTI,37,0.25
2016,GEYLANG,123,0.82
2016,HOUGANG,61,0.41
2016,JURONG EAST,40,0.27
2016,JURONG WEST,68,0.45
2016,KAMPONG JAVA,32,0.21
2016,MARINA BAY,81,0.54
2016,MARINE PARADE,44,0.29
2016,NANYANG,67,0.45
2016,ORCHARD,124,0.83
2016,PASIR RIS,37,0.25
2016,PUNGGOL,33,0.22
2016,QUEENSTOWN,62,0.41
2016,ROCHOR,80,0.53
2016,SEMBAWANG,22,0.15
2016,SENGKANG,42,0.28
2016,SERANGOON,41,0.27
2016,TAMPINES,57,0.38
2016,TOA PAYOH,49,0.33
2016,UNKNOWN,0,0.0
2016,WOODLANDS,0,0.0
2016,WOODLANDS EAST,51,0.34
2016,WOODLANDS WEST,63,0.42
2016,WOODLEIGH,0,0.0
2016,YISHUN,0,0.0
2016,YISHUN NORTH,45,0.3
2016,YISHUN SOUTH,35,0.23
2017,ANG MO KIO NORTH,34,0.23
2017,ANG MO KIO SOUTH,35,0.23
2017,BEDOK,86,0.57
2017,BISHAN,29,0.19
2017,BUKIT BATOK,50,0.33
2017,BUKIT MERAH EAST,89,0.59
2017,BUKIT MERAH WEST,64,0.43
2017,BUKIT PANJANG,30,0.2
2017,BUKIT TIMAH,25,0.17
2017,CHANGI,31,0.21
2017,CHOA CHU KANG,47,0.31
2017,CLEMENTI,50,0.33
2017,GEYLANG,104,0.69
2017,HOUGANG,55,0.37
2017,JURONG EAST,64,0.43
2017,JURONG WEST,59,0.39
2017,KAMPONG JAVA,38,0.25
2017,MARINA BAY,134,0.89
2017,MARINE PARADE,35,0.23
2017,NANYANG,64,0.43
2017,ORCHARD,158,1.05
2017,PASIR RIS,23,0.15
2017,PUNGGOL,30,0.2
2017,QUEENSTOWN,66,0.44
2017,ROCHOR,89,0.59
2017,SEMBAWANG,36,0.24
2017,SENGKANG,72,0.48
2017,SERANGOON,29,0.19
2017,TAMPINES,58,0.39
2017,TOA PAYOH,51,0.34
2017,UNKNOWN,0,0.0
2017,WOODLANDS,0,0.0
2017,WOODLANDS EAST,60,0.4
2017,WOODLANDS WEST,70,0.47
2017,WOODLEIGH,0,0.0
2017,YISHUN,0,0.0
2017,YISHUN NORTH,61,0.41
2017,YISHUN SOUTH,32,0.21
2018,ANG MO KIO NORTH,34,0.23
2018,ANG MO KIO SOUTH,44,0.29
2018,BEDOK,88,0.59
2018,BISHAN,44,0.29
2018,BUKIT BATOK,62,0.41
2018,BUKIT MERAH EAST,97,0.65
2018,BUKIT MERAH WEST,52,0.35
2018,BUKIT PANJANG,46,0.31
2018,BUKIT TIMAH,41,0.27
2018,CHANGI,52,0.35
2018,CHOA CHU KANG,56,0.37
