NAME,station_type,latitude,longitude,STN_NAME
KEMBANGAN MRT STATION,MRT,1.3210380696122812,103.91294752872169,KEMBANGAN
COMPASSVALE LRT STATION,LRT,1.3944787833996302,103.90055527746425,COMPASSVALE
KAKI BUKIT MRT STATION,MRT,1.3349629787882433,103.90845515816943,KAKI BUKIT
BUKIT PANJANG LRT STATION,LRT,1.3779164476690315,103.76302226935547,BUKIT PANJANG
EUNOS MRT STATION,MRT,1.3197792312864234,103.90336181818702,EUNOS
PASIR PANJANG MRT STATION,MRT,1.2762296702669356,103.79134196564955,PASIR PANJANG
TOA PAYOH MRT STATION,MRT,1.3326773928212523,103.84742121689158,TOA PAYOH
KHATIB MRT STATION,MRT,1.4175768084100262,103.83303805970739,KHATIB
UPPER CHANGI MRT STATION,MRT,1.3417404783166411,103.96147329708074,UPPER CHANGI
RAFFLES PLACE MRT STATION,MRT,1.284067270013051,103.85145931530387,RAFFLES PLACE
TANJONG KATONG MRT STATION,MRT,1.2993637230817727,103.89745064541658,TANJONG KATONG
NOVENA MRT STATION,MRT,1.3204300815219443,103.84381813067145,NOVENA
HOLLAND VILLAGE MRT STATION,MRT,1.3119456174947703,103.79623333603709,HOLLAND VILLAGE
KUPANG LRT STATION,LRT,1.3981975781089038,103.8813742829636,KUPANG
CHENG LIM LRT STATION,LRT,1.3962489157601012,103.89390790799162,CHENG LIM
YIO CHU KANG MRT STATION,MRT,1.3817576067531654,103.8448008232047,YIO CHU KANG
SEMBAWANG MRT STATION,MRT,1.449069633698365,103.82019386194229,SEMBAWANG
LAYAR LRT STATION,LRT,1.392092871915538,103.88015787523572,LAYAR
RANGGUNG LRT STATION,LRT,1.383921479226034,103.89749260337356,RANGGUNG
MARINA SOUTH MRT STATION,MRT,1.2742572613232674,103.86335054803517,MARINA SOUTH
KRANJI MRT STATION,MRT,1.4252396284248883,103.76218063434013,KRANJI
CHOA CHU KANG LRT STATION,LRT,1.3848220118639338,103.74454911652266,CHOA CHU KANG
PENDING LRT STATION,LRT,1.3761265378818879,103.77127974986774,PENDING
GREAT WORLD MRT STATION,MRT,1.2945316921778918,103.83344691889354,GREAT WORLD
PAYA LEBAR MRT STATION,MRT,1.318113387069056,103.89304886930358,PAYA LEBAR
